Data,rendimento
25.02.2020,3.59,
26.02.2020,2.75,
27.02.2020,2.31,
28.02.2020,1.33,
29.02.2020,-0.73,
02.03.2020,-1.13,
03.03.2020,-0.47,
04.03.2020,-0.73,
05.03.2020,-0.08,
06.03.2020,-1.10,
09.03.2020,-2.28,
10.03.2020,-3.82,
11.03.2020,-3.72,
12.03.2020,-5.17,
13.03.2020,-7.72,
16.03.2020,-8.35,
17.03.2020,-9.75,
18.03.2020,-11.06,
19.03.2020,-11.41,
20.03.2020,-11.26,
23.03.2020,-10.59,
24.03.2020,-11.44,
25.03.2020,-10.60,
26.03.2020,-10.53,
27.03.2020,-9.76,
30.03.2020,-9.88,
31.03.2020,-9.70,
01.04.2020,-10.11,
02.04.2020,-10.30,
03.04.2020,-10.16,
06.04.2020,-10.02,
07.04.2020,-9.43,
08.04.2020,-9.47,
09.04.2020,-9.02,